S_AGE,S_SPECEFF,S_GENEFF,S_USECOM,S_USEINF,S_ACCONT,S_SPECLASS,S_GENCLASS,S_CODLRN,S_ICTFUT,S_ICTLRN,S_ICTNEG,S_ICTPOS,S_GENACT,S_USESTD,S_NISB,PV1CIL,PV1CT,P_RATTCH,P_EXPLRN,P_PRIORH,P_PRIORS,P_VWICT,P_ICTUSE,P_ICTCOM,P_EXPTCH
14.5,47.08065579,61.11577725,49.47226333,41.20248721,44.06771308,44.62915008,68.95982877,53.27911085,43.36987589,62.16874798,51.097199,46.52092152,53.68075132,55.57539586,-0.209830381,630.8571714,636.4319602,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.42,47.08065579,61.11577725,42.80330884,41.20248721,35.07847341,44.62915008,68.95982877,53.27911085,36.17209738,59.52444754,58.89746142,41.81888358,67.76261599,56.30480216,0.700590478,579.9918803,573.2550616,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.42,50.55912576,52.4743328,50.79133219,49.32383725,44.06771308,48.70944301,61.51837985,52.01847558,43.36987589,59.52444754,51.097199,46.52092152,67.76261599,59.77175179,1.191186634,590.3865643,571.4059444,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.33,57.94046082,52.4743328,39.16985097,53.21636775,41.00301218,48.70944301,54.59460873,48.57070317,40.05263926,52.09742551,58.89746142,41.81888358,56.41745629,53.39372908,-0.237784606,593.8226127,593.4259048,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.75,54.07726546,61.11577725,46.82137306,41.20248721,46.93383803,54.4583352,68.95982877,56.00697617,40.05263926,55.4379011,38.0441101,46.52092152,67.76261599,57.79877532,0.471265394,496.529471,486.6267311,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.33,43.32376193,61.11577725,48.15385532,41.20248721,51.4681624,51.81303016,58.25884815,49.67287079,43.36987589,52.10434223,47.68485138,51.76375283,63.18486548,56.30480216,1.055115478,564.7089076,499.0652601,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.92,54.07726546,48.20036361,46.82137306,49.32383725,46.93383803,51.81303016,56.92998003,50.44847899,53.70151355,53.7030201,47.68485138,46.52092152,56.41745629,51.89313027,-1.299139627,552.390905,522.3565995,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15,47.08065579,45.23063421,69.73709078,66.1068759,69.68036751,54.4583352,68.95982877,54.60625442,40.05263926,57.34755411,47.68485138,56.13774352,59.4836813,58.57452965,0.268414549,495.7998381,464.0610916,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.17,43.32376193,47.65590281,46.82137306,41.20248721,44.06771308,53.91333753,56.92998003,46.45540049,40.05263926,46.60577105,47.68485138,38.53931729,59.4836813,50.30338025,0.416096939,592.1713779,598.5984382,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.17,38.67211471,39.15370877,64.3729837,60.23561695,55.18892836,37.1212289,54.59460873,49.67287079,50.07890187,46.60577105,44.41548902,46.52092152,51.02027494,59.37886219,-0.984180084,493.5179947,422.444402,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.75,38.67211471,52.4743328,39.16985097,41.20248721,46.93383803,37.1212289,49.69333454,57.4927827,43.36987589,62.16874798,38.0441101,60.72827271,53.68075132,56.30480216,0.144694619,595.2608991,610.747729,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15,43.32376193,45.23063421,45.47289037,55.97645334,46.93383803,48.70944301,54.59460873,48.57070317,29.57792301,57.34755411,51.097199,58.9179818,51.02027494,46.59029713,-0.073759225,540.5266608,469.5594504,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.92,50.55912576,48.20036361,41.53401503,41.20248721,45.50776158,54.4583352,58.25884815,59.08687399,46.64877174,57.34755411,41.23045085,46.52092152,53.68075132,55.46082839,-0.782069232,522.6552201,496.3066585,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.42,43.32376193,52.4743328,50.79133219,41.20248721,45.50776158,48.70944301,58.25884815,48.57070317,50.07890187,44.23240849,30.86890863,56.13774352,53.68075132,51.89313027,-0.373855763,571.7130955,568.8823305,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.67,50.55912576,52.4743328,46.82137306,55.97645334,55.18892836,58.98449332,56.92998003,56.00697617,53.70151355,53.7030201,41.23045085,51.76375283,53.68075132,58.22823794,0.144694619,522.4826883,516.8188948,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.25,43.32376193,52.4743328,48.15385532,41.20248721,42.57844828,44.62915008,49.69333454,45.42017416,43.36987589,44.23240849,41.23045085,41.81888358,53.68075132,53.39372908,0.770621939,449.3588466,422.4383248,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.75,30.53123372,52.4743328,48.15385532,41.20248721,44.06771308,37.1212289,54.59460873,47.50168342,43.36987589,46.60577105,47.68485138,33.45409187,53.68075132,48.56408052,-0.156141912,578.3549305,504.7693336,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.17,47.08065579,61.11577725,58.64797288,55.97645334,48.37658135,48.70944301,58.25884815,56.00697617,46.64877174,45.40071298,44.41548902,46.52092152,59.4836813,56.30480216,0.646162015,579.4141403,596.7720051,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.25,54.07726546,48.20036361,39.16985097,41.20248721,41.00301218,44.62915008,58.25884815,48.57070317,53.70151355,43.08550714,41.23045085,41.81888358,53.68075132,53.36955348,-0.591569613,544.6645721,526.3047058,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.25,71.01489611,61.11577725,61.06099255,55.97645334,49.87372235,62.78891478,64.88811532,75.04478884,68.79547657,72.89762977,41.23045085,60.72827271,73.50129224,62.98398192,0.594985325,506.5711307,478.0836367,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.58,43.32376193,61.11577725,48.15385532,41.20248721,48.37658135,51.81303016,64.88811532,43.33320731,29.57792301,59.52444754,38.0441101,60.72827271,59.4836813,55.57539586,1.327257791,597.6954408,587.3954485,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.33,47.08065579,52.4743328,31.91235955,53.21636775,48.37658135,45.2946801,44.14619031,56.00697617,46.64877174,58.4622313,30.86890863,56.13774352,56.41745629,54.85058026,-1.610847397,539.7017101,545.6456101,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
15.17,30.53123372,13.00348403,42.46952466,41.20248721,44.06771308,37.1212289,31.48280536,53.27911085,43.36987589,50.59805705,58.89746142,35.88516927,48.22590209,50.30338025,-2.250465086,455.2077481,500.0859484,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.67,38.67211471,45.23063421,45.47289037,53.21636775,53.21388366,56.82619088,68.95982877,37.14186185,40.05263926,50.59805705,41.23045085,46.52092152,59.4836813,56.64064807,-0.673212307,539.8521366,473.2303939,0.08,64.81325196,36.69051025,39.84566252,53.0908878,45.60345399,47.46752444,51.77197404
14.75,30.53123372,48.20036361,58.64797288,41.20248721,39.28980177,51.81303016,68.95982877,52.01847558,29.57792301,39.58777921,51.097199,38.53931729,59.4836813,56.30480216,1.055115478,599.1121048,584.0501694,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.83,54.07726546,52.4743328,45.47289037,41.20248721,57.51157271,51.81303016,54.59460873,47.50168342,57.52678195,44.23240849,38.0441101,46.52092152,59.4836813,57.04376546,0.727804709,610.3071381,606.7917853,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.75,38.67211471,48.20036361,48.15385532,41.20248721,42.57844828,54.4583352,61.51837985,48.57070317,50.07890187,50.59805705,51.097199,46.52092152,53.68075132,56.30480216,1.30004356,605.4208619,573.1275765,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
15.33,43.32376193,61.11577725,64.3729837,41.20248721,64.13818488,44.62915008,61.51837985,60.83472593,40.05263926,53.7030201,44.41548902,38.53931729,59.4836813,59.37886219,0.117480388,497.2201365,445.2541828,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
15.42,54.07726546,61.11577725,39.16985097,41.20248721,46.93383803,48.70944301,54.59460873,56.00697617,68.79547657,62.16874798,34.69332244,60.72827271,59.4836813,58.57452965,-1.093777003,679.9930766,752.4734396,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
15.25,30.53123372,37.5302084,82.20333456,66.1068759,69.68036751,56.82619088,64.88811532,43.33320731,36.17209738,57.34755411,51.097199,46.52092152,73.50129224,70.37297156,1.287692334,549.9910485,491.731144,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.83,71.01489611,61.11577725,44.12533373,41.20248721,51.4681624,87.71303427,75.8942586,75.04478884,68.79547657,72.89762977,41.23045085,60.72827271,63.18486548,57.04376546,-2.234710121,497.084527,485.0329094,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.75,50.55912576,52.4743328,48.15385532,41.20248721,53.86280453,60.96322772,68.95982877,57.4927827,36.17209738,59.52444754,58.89746142,41.81888358,67.76261599,62.05819406,1.027161253,542.6862285,517.268713,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.5,50.55912576,61.11577725,48.15385532,53.21636775,51.4681624,48.70944301,54.59460873,44.38387017,68.79547657,46.60577105,60.50078881,51.76375283,56.41745629,58.57452965,0.700590478,639.3595565,599.6590454,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.42,38.67211471,45.23063421,50.79133219,53.21636775,46.93383803,48.70944301,54.59460873,48.57070317,43.36987589,46.60577105,47.68485138,51.76375283,82.9035396,66.8621248,-0.020070756,598.9150682,519.5807328,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.58,43.32376193,48.20036361,50.79133219,41.20248721,46.93383803,48.70944301,54.59460873,50.81912215,40.05263926,53.7030201,41.23045085,46.52092152,59.4836813,51.89313027,0.416096939,546.6868633,395.6444858,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.58,57.94046082,52.4743328,41.53401503,49.32383725,42.57844828,37.1212289,58.25884815,52.01847558,53.70151355,57.34755411,44.41548902,56.13774352,63.18486548,64.20750487,1.237336782,566.3751956,615.2151757,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.92,47.08065579,52.4743328,34.63344421,41.20248721,53.21388366,44.62915008,49.69333454,52.01847558,43.36987589,52.09742551,41.23045085,46.52092152,53.68075132,57.04376546,1.027901247,653.4192934,626.1991855,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
14.5,47.08065579,48.20036361,46.82137306,41.20248721,42.57844828,54.4583352,61.51837985,52.01847558,50.07890187,57.34755411,47.68485138,46.52092152,56.41745629,51.89313027,-1.75926978,624.4028477,667.1443066,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
15.25,38.67211471,48.20036361,44.12533373,41.20248721,39.28980177,58.98449332,61.51837985,49.27214491,40.05263926,50.59805705,41.23045085,46.52092152,56.41745629,56.30480216,0.213986087,484.9738456,346.0091752,0.07,64.81325196,34.31717247,52.02549488,62.21849187,53.74564986,47.46752444,62.57949753
15.17,50.55912576,35.98114856,64.3729837,55.97645334,80.92737632,87.71303427,75.8942586,53.27911085,53.70151355,21.29812402,51.097199,46.52092152,53.68075132,72.64619007,-0.388718768,460.6455176,386.0745029,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
15,38.67211471,48.20036361,48.15385532,49.32383725,45.50776158,37.1212289,49.69333454,49.67287079,46.64877174,59.52444754,47.68485138,68.19256997,51.02027494,57.04376546,0.40049394,504.262952,418.1906789,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.92,71.01489611,61.11577725,50.79133219,41.20248721,42.57844828,46.21653001,61.51837985,75.04478884,46.64877174,65.80878131,44.41548902,38.53931729,51.02027494,56.30480216,-0.766466234,472.8845679,426.2055212,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.83,62.73012285,61.11577725,82.20333456,55.97645334,55.18892836,59.45817121,49.69333454,53.27911085,53.70151355,50.59805705,44.41548902,56.13774352,45.86821584,54.85058026,-1.01939482,481.1005585,449.1250532,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.83,57.94046082,61.11577725,55.03712864,49.32383725,48.37658135,51.81303016,54.59460873,75.04478884,68.79547657,72.89762977,51.097199,68.19256997,56.41745629,51.89313027,0.156305852,572.8904013,575.7219674,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.83,71.01489611,61.11577725,40.32551631,41.20248721,55.18892836,62.78891478,68.95982877,75.04478884,50.07890187,72.89762977,64.25487518,51.76375283,73.50129224,64.20750487,-0.521538152,570.2146141,564.0056927,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.67,54.07726546,52.4743328,52.13492659,41.20248721,51.4681624,51.81303016,61.51837985,59.08687399,50.07890187,59.52444754,47.68485138,41.81888358,63.18486548,58.57452965,-0.252647611,560.2143996,466.2703552,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.58,50.55912576,48.20036361,55.03712864,53.21636775,51.4681624,37.1212289,68.95982877,68.57002585,43.36987589,58.36955145,47.68485138,56.13774352,63.18486548,57.79877532,-0.252647611,513.8407925,482.3222008,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.5,38.67211471,48.20036361,48.15385532,41.20248721,55.18892836,48.70944301,58.25884815,56.00697617,53.70151355,55.4379011,44.41548902,51.76375283,56.41745629,54.81297206,1.027901247,562.4212221,562.5456766,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.17,38.67211471,45.23063421,50.79133219,41.20248721,46.93383803,44.62915008,61.51837985,57.4927827,43.36987589,62.16874798,51.097199,46.52092152,56.41745629,53.39372908,1.10954394,579.0492385,520.3871705,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
15.17,57.94046082,48.20036361,55.03712864,64.04211627,69.68036751,64.49515167,58.25884815,57.4927827,46.64877174,59.52444754,38.0441101,68.19256997,56.41745629,60.22028628,-1.420347778,452.0942384,433.0270741,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
15.25,38.67211471,42.58550916,13.49910367,41.20248721,53.21388366,37.1212289,31.48280536,50.81912215,46.64877174,44.23240849,58.89746142,46.52092152,45.07587436,54.12481416,-1.922555168,499.4195846,448.5196957,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
14.5,47.08065579,61.11577725,61.06099255,41.20248721,42.57844828,44.62915008,61.51837985,44.38387017,50.07890187,59.52444754,44.41548902,51.76375283,63.18486548,54.12481416,-0.034933761,589.4423009,586.0257359,0.05,71.57911712,41.33939777,46.30341134,42.08115292,62.28012925,70.16857228,62.57949753
