S_AGE,S_SPECEFF,S_GENEFF,S_USECOM,S_USEINF,S_ACCONT,S_SPECLASS,S_GENCLASS,S_CODLRN,S_ICTFUT,S_ICTLRN,S_ICTNEG,S_ICTPOS,S_GENACT,S_USESTD,S_NISB,PV1CIL,PV1CT,P_RATTCH,P_EXPLRN,P_PRIORH,P_PRIORS,P_VWICT,P_ICTUSE,P_ICTCOM,P_EXPTCH
14.08,30.53123372,48.20036361,49.47226333,64.04211627,57.51157271,37.1212289,44.14619031,53.27911085,46.64877174,65.80878131,51.097199,56.13774352,27.11514269,49.45694334,0.042948875,625.6446393,655.3093624,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.42,30.53123372,34.45435821,45.47289037,41.20248721,53.21388366,48.70944301,31.48280536,39.92195203,40.05263926,39.58777921,51.097199,46.52092152,45.07587436,49.45694334,0.700818376,625.4543701,568.1530148,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.25,50.55912576,45.23063421,35.81177592,55.97645334,44.06771308,48.70944301,31.48280536,39.92195203,50.07890187,45.40071298,54.74959483,56.13774352,51.02027494,41.35868169,1.064995063,579.693474,556.3863784,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.67,38.67211471,32.90126998,58.64797288,58.23188941,55.18892836,37.1212289,44.14619031,23.93156842,43.36987589,40.78400363,51.097199,68.19256997,36.16874269,37.4953816,0.700818376,522.2717241,570.230953,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.08,57.94046082,50.03160278,55.03712864,62.13169883,57.51157271,60.96322772,58.25884815,59.08687399,53.70151355,41.94241547,51.097199,60.72827271,51.02027494,55.57539586,1.031888091,607.4198266,543.9315454,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.33,30.53123372,48.20036361,34.63344421,41.20248721,39.28980177,37.1212289,31.48280536,45.42017416,57.52678195,40.78400363,44.41548902,60.72827271,41.26061477,44.48286135,-0.255013869,590.7581819,638.3777507,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.08,57.94046082,61.11577725,42.80330884,41.20248721,42.57844828,58.98449332,49.69333454,57.4927827,52.98112645,57.34755411,54.74959483,51.76375283,56.41745629,39.58715211,1.492452993,567.7673649,544.6345414,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.25,54.07726546,61.11577725,56.70543773,62.13169883,55.18892836,60.96322772,54.59460873,60.83472593,57.52678195,65.80878131,51.097199,60.72827271,51.02027494,54.85058026,0.634604433,613.340444,567.1294435,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.42,57.94046082,52.4743328,49.47226333,41.20248721,55.18892836,37.1212289,31.48280536,52.01847558,43.36987589,50.59805705,74.113199,68.19256997,48.22590209,48.56408052,0.241590704,576.6526567,572.7717243,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.25,50.55912576,61.11577725,52.13492659,60.23561695,60.37323929,66.12353678,58.25884815,60.83472593,40.05263926,53.7030201,64.25487518,56.13774352,59.4836813,56.30480216,1.064995063,628.6818118,592.539373,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.08,47.08065579,42.89052709,44.12533373,41.20248721,45.50776158,60.96322772,54.59460873,50.70416265,50.07890187,47.86460127,51.097199,41.81888358,36.16874269,41.35868169,0.071785916,524.9084136,399.8250596,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.5,43.32376193,48.20036361,48.15385532,41.20248721,44.06771308,37.1212289,38.95521806,43.33320731,53.70151355,62.16874798,54.74959483,46.52092152,27.11514269,31.54888008,0.601497461,616.9449821,675.2194139,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.25,57.94046082,52.4743328,48.15385532,58.23188941,46.93383803,44.62915008,38.95521806,35.41734957,43.36987589,31.33443016,58.89746142,46.52092152,53.68075132,52.6520114,0.733925347,608.3878563,693.828422,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14,50.55912576,61.11577725,52.13492659,53.21636775,49.87372235,37.1212289,31.48280536,23.93156842,57.52678195,33.61572539,30.86890863,46.52092152,45.07587436,48.56408052,0.421807633,569.3842616,477.549561,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14,57.94046082,61.11577725,53.53541493,41.20248721,45.50776158,37.1212289,38.95521806,44.38387017,57.52678195,55.4379011,54.74959483,68.19256997,51.02027494,51.89313027,1.197422949,589.6912395,599.9724672,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
13.75,54.07726546,37.5302084,13.49910367,41.20248721,18.02590371,37.1212289,58.25884815,59.08687399,50.07890187,57.34755411,51.097199,46.52092152,27.11514269,15.73683874,-1.313909858,478.8121699,428.9895826,0.07,48.70383568,61.19089709,50.00272824,47.77311675,53.74564986,47.46752444,44.75035152
13.75,50.55912576,39.15370877,56.70543773,41.20248721,57.51157271,56.82619088,49.69333454,75.04478884,68.79547657,59.52444754,74.113199,68.19256997,48.22590209,41.35868169,0.303534717,545.1488625,563.5158192,0.07,48.70383568,61.19089709,50.00272824,47.77311675,53.74564986,47.46752444,44.75035152
13.83,71.01489611,61.11577725,58.64797288,58.23188941,69.68036751,37.1212289,49.69333454,43.33320731,57.52678195,40.78400363,41.23045085,68.19256997,56.41745629,42.89658425,0.899460205,668.8270801,544.102484,0.07,48.70383568,61.19089709,50.00272824,47.77311675,53.74564986,47.46752444,44.75035152
13.83,54.07726546,61.11577725,49.47226333,53.21636775,51.4681624,48.70944301,58.25884815,57.4927827,46.64877174,55.4379011,47.68485138,68.19256997,59.4836813,46.59029713,-0.155692954,682.709901,648.1585151,0.07,48.70383568,61.19089709,50.00272824,47.77311675,53.74564986,47.46752444,44.75035152
14.08,71.01489611,61.11577725,40.32551631,41.20248721,44.06771308,54.4583352,61.51837985,75.04478884,68.79547657,65.80878131,74.113199,68.19256997,48.22590209,63.08458559,0.833246262,530.7808,534.2636886,0.07,48.70383568,61.19089709,50.00272824,47.77311675,53.74564986,47.46752444,44.75035152
14.25,71.01489611,61.11577725,46.82137306,41.20248721,57.51157271,37.1212289,38.95521806,53.27911085,53.70151355,40.78400363,51.097199,46.52092152,45.07587436,41.35868169,0.833246262,608.3936382,612.1117053,0.07,48.70383568,61.19089709,50.00272824,47.77311675,53.74564986,47.46752444,44.75035152
14.17,47.08065579,48.20036361,36.93918044,41.20248721,32.15038965,48.70944301,49.69333454,49.67287079,46.64877174,46.60577105,51.097199,46.52092152,48.22590209,53.39372908,0.870623163,618.584777,428.5969834,0.07,48.70383568,61.19089709,50.00272824,47.77311675,53.74564986,47.46752444,44.75035152
