S_AGE,S_SPECEFF,S_GENEFF,S_USECOM,S_USEINF,S_ACCONT,S_SPECLASS,S_GENCLASS,S_CODLRN,S_ICTFUT,S_ICTLRN,S_ICTNEG,S_ICTPOS,S_GENACT,S_USESTD,S_NISB,PV1CIL,PV1CT,P_RATTCH,P_EXPLRN,P_PRIORH,P_PRIORS,P_VWICT,P_ICTUSE,P_ICTCOM,P_EXPTCH
14.58,50.5591257616814,61.1157772534719,45.4728903666272,41.2024872071537,45.5077615764202,44.6291500841947,38.9552180615598,62.8246437643196,43.3698758914783,72.8976297736024,51.0971989971214,56.1377435236114,48.2259020866886,47.6134858713936,-.745290985949479,582.419771136755,633.444378128332,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.67,50.5591257616814,61.1157772534719,56.7054377272399,62.131698834341,60.3732392887984,44.6291500841947,61.5183798478174,44.3838701689696,46.6487717370281,41.9424154736113,38.0441101034709,51.7637528349392,53.6807513231144,51.8931302712431,-.862963555332449,613.20373552813,642.459052608099,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
15.08,57.9404608246833,61.1157772534719,49.4722633348929,41.2024872071537,45.5077615764202,44.6291500841947,49.6933345412415,42.2528907289508,50.0789018692479,45.4007129781416,38.0441101034709,46.5209215231019,51.0202749406893,47.6134858713936,-1.3575036502074,645.438835225688,626.163544852401,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
15.08,47.0806557864315,61.1157772534719,52.1349265892142,64.0421162686057,49.8737223474217,51.8130301572014,61.5183798478174,48.5707031674119,50.0789018692479,50.598057050325,47.6848513810684,68.1925699712337,48.2259020866886,51.1127915821721,-1.33255734861348,556.553871634836,467.080425748063,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.5,50.5591257616814,52.4743328041979,36.9391804388556,41.2024872071537,42.5784482826216,48.709443007096,49.6933345412415,53.2791108537427,46.6487717370281,53.7030200975338,51.0971989971214,41.8188835789901,48.2259020866886,49.4569433404879,.898424818839505,555.23366223895,531.161880655274,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.67,57.9404608246833,61.1157772534719,48.1538553202045,41.2024872071537,44.0677130813168,44.6291500841947,49.6933345412415,54.6062544220918,57.5267819469784,45.4007129781416,51.0971989971214,46.5209215231019,53.6807513231144,49.4569433404879,-1.38841240613708,562.578235680414,592.735818167582,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
16.08,50.5591257616814,52.4743328041979,42.8033088435003,53.2163677533434,32.1503896548425,44.6291500841947,44.1461903141814,43.3332073082229,50.0789018692479,38.3251645794701,38.0441101034709,46.5209215231019,45.0758743556443,47.6134858713936,-2.24470853375457,488.25731690501,523.428767066854,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
15.42,30.5312337232645,34.4543582083378,45.4728903666272,41.2024872071537,46.9338380319775,37.1212288961528,31.4828053619518,54.6062544220918,43.3698758914783,50.598057050325,47.6848513810684,38.5393172915459,51.0202749406893,35.5522154213679,-1.44426746366068,377.923878119347,343.941640446242,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.67,30.5312337232645,42.8905270909039,42.8033088435003,41.2024872071537,42.5784482826216,37.1212288961528,58.2588481458958,44.3838701689696,46.6487717370281,46.6057710546395,54.7495948303094,46.5209215231019,53.6807513231144,39.5871521112837,-1.04841609091055,580.87816528373,549.632504893756,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.67,43.3237619316883,52.4743328041979,45.4728903666272,41.2024872071537,42.5784482826216,38.1426554382472,54.5946087339274,47.5016834210903,46.6487717370281,47.8646012686813,47.6848513810684,46.5209215231019,53.6807513231144,48.6067400526936,-.924781067191817,563.543486810001,586.175129678835,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.5,43.3237619316883,52.4743328041979,38.0486836449386,41.2024872071537,39.2898017684,48.709443007096,49.6933345412415,38.612557056658,40.052639259257,50.598057050325,44.4154890196839,56.1377435236114,48.2259020866886,45.4790667918484,-.396556346129327,540.301251074782,580.977674294602,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.75,30.5312337232645,48.2003636149283,45.4728903666272,41.2024872071537,45.5077615764202,44.6291500841947,61.5183798478174,47.5016834210903,43.3698758914783,49.1907896869966,47.6848513810684,46.5209215231019,51.0202749406893,47.6134858713936,-.158024623285475,613.24065756428,575.215662283037,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
14.83,57.9404608246833,61.1157772534719,49.4722633348929,53.2163677533434,53.2138836566994,51.8130301572014,49.6933345412415,43.3332073082229,46.6487717370281,57.347554111239,74.1131990003582,51.7637528349392,48.2259020866886,49.4569433404879,-.559838450371372,585.55202983902,565.11469373179,.11,46.201162813296,36.6905102450795,41.3964084064886,62.2184918685183,45.6034539899303,47.4675244433588,62.5794975325312
13.75,71.0148961112169,61.1157772534719,61.0609925471484,60.2356169462874,57.5115727087366,48.709443007096,54.5946087339274,52.0184755767898,68.7954765724875,52.2069562790971,34.6933224415058,68.1925699712337,63.1848654751733,58.3125685543578,1.56197996726102,508.867841206717,537.319362766724,.05,48.7038356798378,48.2474822339833,57.3183671480182,62.2184918685183,42.7201117134074,47.4675244433588,51.7719740356776
13.75,43.3237619316883,61.1157772534719,52.1349265892142,41.2024872071537,53.2138836566994,44.6291500841947,49.6933345412415,37.141861854758,50.0789018692479,57.347554111239,38.0441101034709,60.7282727062046,48.2259020866886,54.1248141559653,.690307950814605,564.096344091892,641.146556371065,.05,48.7038356798378,48.2474822339833,57.3183671480182,62.2184918685183,42.7201117134074,47.4675244433588,51.7719740356776
13.33,38.6721147127443,52.4743328041979,53.5354149295186,41.2024872071537,49.8737223474217,44.6291500841947,38.9552180615598,40.344625168366,43.3698758914783,40.7840036251579,51.0971989971214,46.5209215231019,41.2606147651223,42.8965842498641,.660608556714905,542.948761125721,535.245257232439,.05,48.7038356798378,48.2474822339833,57.3183671480182,62.2184918685183,42.7201117134074,47.4675244433588,51.7719740356776
13.33,30.5312337232645,42.8905270909039,46.8213730648212,41.2024872071537,55.1889283583728,37.1212288961528,38.9552180615598,41.1236856461762,29.5779230081389,53.7030200975338,54.7495948303094,38.5393172915459,41.2606147651223,45.4790667918484,1.6757462584647,572.833801763964,578.022103014936,.05,48.7038356798378,48.2474822339833,57.3183671480182,62.2184918685183,42.7201117134074,47.4675244433588,51.7719740356776
13.75,47.0806557864315,61.1157772534719,55.0371286373593,49.3238372461679,48.3765813524951,48.709443007096,54.5946087339274,49.6728707919335,38.031602334931,49.1907896869966,38.0441101034709,46.5209215231019,45.0758743556443,54.850580258582,.660608556714905,501.038817842906,529.891416522186,.05,48.7038356798378,48.2474822339833,57.3183671480182,62.2184918685183,42.7201117134074,47.4675244433588,51.7719740356776
13.67,54.0772654557087,52.4743328041979,45.4728903666272,62.131698834341,55.1889283583728,62.7889147797118,64.8881153199864,53.2791108537427,68.7954765724875,55.4379011034156,38.0441101034709,68.1925699712337,53.6807513231144,55.5753958634667,1.53517009899629,541.632089763654,613.917269211907,.05,48.7038356798378,48.2474822339833,57.3183671480182,62.2184918685183,42.7201117134074,47.4675244433588,51.7719740356776
14.17,54.0772654557087,61.1157772534719,55.0371286373593,58.2318894106391,44.0677130813168,54.4583351960325,44.1461903141814,49.2522122160031,53.7015135547796,46.6057710546395,60.5007888085175,51.7637528349392,51.0202749406893,54.850580258582,.714228293244357,461.500601374688,390.96261555822,.05,48.7038356798378,48.2474822339833,57.3183671480182,62.2184918685183,42.7201117134074,47.4675244433588,51.7719740356776
